date,sample,GAN_ours_default_9seed,GAN_ours_tf_faithful,GAN_authors_checkpoints_ported,LS,Ridge
1996-11-29,test,0.007533,0.009823,0.006349,0.720273,0.468719
1996-12-31,test,0.015548,0.014475,0.016156,1.401789,1.292668
1997-01-31,test,0.020071,0.022406,0.014593,1.462661,0.912933
1997-02-28,test,0.014404,0.007113,0.015140,0.698898,1.044421
1997-03-31,test,0.015871,0.015908,0.018895,1.357445,1.090659
1997-04-30,test,0.015053,0.008385,0.016647,0.551963,0.535663
1997-05-30,test,0.005776,0.018912,0.009653,-0.782005,-0.207591
1997-06-30,test,0.021043,0.018341,0.025565,2.097197,1.755983
1997-07-31,test,0.006861,0.010101,0.005840,0.404905,-0.015290
1997-08-29,test,0.003005,0.010558,0.006396,0.402844,-0.045636
1997-09-30,test,0.009074,0.016421,0.008179,-0.014398,0.245080
1997-10-31,test,0.003158,0.002922,0.004724,0.803372,0.791113
1997-11-28,test,0.014554,0.004977,0.009593,1.186741,1.328156
1997-12-31,test,0.016454,0.005877,0.011004,1.591638,1.167344
1998-01-30,test,0.009290,0.008712,0.015668,1.063349,0.765283
1998-02-27,test,0.021389,0.018273,0.016440,0.774881,0.649147
1998-03-31,test,0.013328,0.016870,0.017278,-0.030208,0.647292
1998-04-30,test,0.001401,0.009090,0.007228,1.702873,0.894045
1998-05-29,test,0.011032,0.007114,0.019806,1.407043,1.212827
1998-06-30,test,0.005261,0.002388,0.012083,0.093959,0.393326
1998-07-31,test,0.001927,0.003265,0.010196,0.977881,0.771760
1998-08-31,test,0.015290,0.003901,0.014094,1.522571,1.137411
1998-09-30,test,0.018005,0.016707,0.021990,1.335056,1.345965
1998-10-30,test,0.012003,0.015919,0.014668,1.511745,1.124344
1998-11-30,test,0.020206,0.022724,0.024292,1.114630,1.441861
1998-12-31,test,0.016376,0.012515,0.012448,0.453143,0.092783
1999-01-29,test,0.000276,0.013845,0.026736,-0.486155,0.188434
1999-02-26,test,0.006665,0.006305,0.013210,0.734177,0.991079
1999-03-31,test,-0.005119,-0.004894,-0.000478,0.433571,0.008807
1999-04-30,test,0.000941,0.005265,-0.003742,-0.554505,-0.342284
1999-05-28,test,0.001263,0.012884,0.006283,0.975247,0.802733
1999-06-30,test,0.016019,0.025055,0.014837,0.491228,0.554690
1999-07-30,test,0.012046,0.017449,0.019478,0.455544,0.759552
1999-08-31,test,0.003865,0.007028,0.015140,0.713510,0.420266
1999-09-30,test,0.004713,0.003888,0.009137,0.548615,-0.045776
1999-10-29,test,0.018263,0.012412,0.025053,0.181649,0.693251
1999-11-30,test,0.006988,0.033736,0.022101,-2.055773,-0.582549
